timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1659948195918,199,HTTP Request,200,OK,Practice 1-1,text,true,,3025,121,29,29,http://api.yinsoknara.tech/,199,0,48
1659948195927,290,HTTP Request,200,OK,Practice 1-3,text,true,,3023,121,44,44,http://api.yinsoknara.tech/,290,0,42
1659948195923,408,HTTP Request,200,OK,Practice 1-2,text,true,,3023,121,60,60,http://api.yinsoknara.tech/,408,0,46
1659948195934,497,HTTP Request,200,OK,Practice 1-4,text,true,,3019,121,74,74,http://api.yinsoknara.tech/,497,0,44
1659948195942,595,HTTP Request,200,OK,Practice 1-5,text,true,,3029,121,89,89,http://api.yinsoknara.tech/,595,0,48
1659948195955,684,HTTP Request,200,OK,Practice 1-7,text,true,,3021,121,104,104,http://api.yinsoknara.tech/,684,0,38
1659948195950,1040,HTTP Request,200,OK,Practice 1-6,text,true,,3033,121,150,150,http://api.yinsoknara.tech/,1040,0,43
1659948195978,1117,HTTP Request,200,OK,Practice 1-9,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,1117,0,42
1659948195978,1238,HTTP Request,200,OK,Practice 1-10,text,true,,3035,121,150,150,http://api.yinsoknara.tech/,1238,0,44
1659948195966,1337,HTTP Request,200,OK,Practice 1-8,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,1337,0,52
1659948195995,1429,HTTP Request,200,OK,Practice 1-12,text,true,,3033,121,150,150,http://api.yinsoknara.tech/,1429,0,37
1659948196006,1494,HTTP Request,200,OK,Practice 1-14,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,1494,0,41
1659948195998,1643,HTTP Request,200,OK,Practice 1-13,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,1643,0,46
1659948195987,1713,HTTP Request,200,OK,Practice 1-11,text,true,,3031,121,150,150,http://api.yinsoknara.tech/,1713,0,57
1659948196026,1782,HTTP Request,200,OK,Practice 1-17,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,1782,0,43
1659948196042,1863,HTTP Request,200,OK,Practice 1-19,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,1863,0,50
1659948196053,1974,HTTP Request,200,OK,Practice 1-21,text,true,,3021,121,150,150,http://api.yinsoknara.tech/,1974,0,44
1659948196036,2090,HTTP Request,200,OK,Practice 1-18,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,2090,0,55
1659948196048,2209,HTTP Request,200,OK,Practice 1-20,text,true,,3021,121,150,150,http://api.yinsoknara.tech/,2209,0,49
1659948196060,2243,HTTP Request,200,OK,Practice 1-22,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,2242,0,45
1659948196117,2274,HTTP Request,200,OK,Practice 1-1,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,2274,0,0
1659948196083,2419,HTTP Request,200,OK,Practice 1-24,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,2419,0,44
1659948196085,2497,HTTP Request,200,OK,Practice 1-25,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,2497,0,50
1659948196099,2578,HTTP Request,200,OK,Practice 1-27,text,true,,3031,121,150,150,http://api.yinsoknara.tech/,2578,0,40
1659948196090,2670,HTTP Request,200,OK,Practice 1-26,text,true,,3023,121,150,150,http://api.yinsoknara.tech/,2669,0,48
1659948196119,2740,HTTP Request,200,OK,Practice 1-30,text,true,,3025,121,150,150,http://api.yinsoknara.tech/,2739,0,72
1659948196104,2866,HTTP Request,200,OK,Practice 1-28,text,true,,3039,121,150,150,http://api.yinsoknara.tech/,2866,0,87
1659948196147,2916,HTTP Request,200,OK,Practice 1-34,text,true,,3029,121,150,150,http://api.yinsoknara.tech/,2911,0,44
1659948196128,3036,HTTP Request,200,OK,Practice 1-31,text,true,,3027,121,150,150,http://api.yinsoknara.tech/,3036,0,63
